slug,file,cloudflare_id,client,headline,status
5x5,work-5x5.jpg,6fb9d1e1-05d0-426e-3e44-2e9d5fbd0800,5x5 Technologies,"A website that didn't just tell the story, it showed it — built for the fundraise",ok
algorithm-trap,work-algorithm-trap.jpg,12e4905f-930b-4951-b63a-59c3b54d9500,The Algorithm Trap,A generative short about breaking free of the endless scroll,ok
allia-health-group,work-allia-health-group.jpg,303afa51-a974-4606-4601-a6cd42857100,Allia Health Group,"A multi-brand health portfolio, rebranded and rebuilt as one investor-ready platform",ok
angel-oak-home-loans,work-angel-oak-home-loans.jpg,a5d1a751-1ca2-479a-fd3b-c92dbf268000,Angel Oak Home Loans,"A site rebuilt around how people actually borrow, with leads to match",ok
bc-parks-foundation,work-bc-parks-foundation.jpg,a7eab213-e169-46fd-82f3-7fe85a035e00,BC Parks Foundation,Rescuing a launch that had already failed once,ok
bcw,work-bcw.jpg,afd7efe8-f5a9-48b3-8466-488d1f6c1400,BC Women’s Health Foundation,A research report turned into a campaign that hit the news,ok
case-telus-koodo,work-case-telus-koodo.jpg,f04a0b77-b0fb-4e2b-7745-4931854ac800,TELUS & Koodo,One platform that ended USB-stick ordering for a national dealer network,ok
celestial-ai,work-celestial-ai.jpg,73d262ef-5185-4d4f-92b9-40163c449500,Celestial AI,The AI-native anthem that made light visible,ok
chinatown-bia,work-chinatown-bia.jpg,75d86e21-6f0f-4285-21fd-ae0559fe7700,Vancouver Chinatown BIA,A neighbourhood directory the community still runs,ok
delta-controls,work-delta-controls.jpg,c5bcd246-9b6b-4263-4285-e3d8ab147600,Delta Controls,Sensor setup that took 5 minutes now takes 90 seconds,ok
energizer,work-energizer.jpg,8c03d14b-214b-444b-e04f-55a72e261b00,Energizer,"Validating a new product in 30 days, so the expensive mistakes never got made",ok
ernest-packaging,work-ernest-packaging.jpg,39441574-ab24-49b4-1356-5149ad9e4500,Ernest Packaging,The Dream Division: a culture platform employees actually visit,ok
hall-constructors,work-hall-constructors.jpg,c7719ae0-534d-4846-cab7-e9e6d1990900,Hall Constructors,"A digital ticketing system foremen actually use, where the last one failed",ok
iron-mountain,work-iron-mountain.jpg,23852068-0023-4ed0-fbad-c5824d769e00,Iron Mountain,The AI-hybrid anthem that won a Silver ADDY,ok
luxxee,work-luxxee.jpg,d1cd0a11-c7c7-4cec-a2dd-e583c583e600,luxxee,"We didn't just build the product. We co-founded it, equity and all",ok
maple-health,work-maple-health.jpg,476788ca-6e6a-4ad4-0bb6-6bba487cde00,Maple Health,"The AI-animated spot that sells telehealth on feeling, not features",ok
ncis-maritime,work-ncis-maritime.jpg,0a91e1d9-7d69-4c04-4751-6dc5482b2000,NCIS,Maritime intelligence pulled out of legacy silos and into one fast investigative view,ok
nva,work-nva.jpg,f67ccf61-7dad-4526-e6f2-3ee6b2690b00,NVA,"One brand story across 1,000+ hospitals, without flattening any of them",ok
phinity,work-phinity.jpg,8f52b7e5-720c-4892-25e7-95555e451300,Phinity,"A pool-care giant tested a direct-to-consumer model, and it became the business",ok
rapid-mvp-launch,work-rapid-mvp-launch.jpg,decd67a8-da96-41e0-272a-57038e5b5800,Rapid MVP,The AI-animated launch film that sells speed by being fast,ok
telus-rewards,work-telus-rewards.jpg,fb658e5e-9a4f-4111-800e-be31c53cfe00,TELUS Rewards,The loyalty blueprint that launched 22% ahead of target,ok
telus-support,work-telus-support.jpg,e55f5632-360c-431c-de25-8c574e649500,TELUS Support,A self-serve redesign that took $600K out of the first year's support costs,ok
xyon,work-xyon.jpg,01d43f06-25ae-4b92-99d1-89d563b19f00,XYON Health,"A men's health brand, launched as a full consultation-to-purchase commerce engine",ok
